file_names,doc_title,url
VOL_0001_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 01, No. 01 -- January 1923",http://www.archives.nd.edu/Alumnus/VOL_0001/VOL_0001_ISSUE_0001.pdf
VOL_0001_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 01, No. 02 -- March 1923",http://www.archives.nd.edu/Alumnus/VOL_0001/VOL_0001_ISSUE_0002.pdf
VOL_0001_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 01, No. 03 -- May 1923",http://www.archives.nd.edu/Alumnus/VOL_0001/VOL_0001_ISSUE_0003.pdf
VOL_0001_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 01, No. 04 -- July 1923",http://www.archives.nd.edu/Alumnus/VOL_0001/VOL_0001_ISSUE_0004.pdf
VOL_0002_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 02, No. 01 -- October 1923",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0001.pdf
VOL_0002_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 02, No. 02 -- November 1923",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0002.pdf
VOL_0002_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 02, No. 03 -- December 1923",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0003.pdf
VOL_0002_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 02, No. 04 -- January 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0004.pdf
VOL_0002_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 02, No. 05 -- February 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0005.pdf
VOL_0002_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 02, No. 06 -- March 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0006.pdf
VOL_0002_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 02, No. 07 -- April 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0007.pdf
VOL_0002_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 02, No. 08 -- May 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0008.pdf
VOL_0002_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 02, No. 09 -- June 1924",http://www.archives.nd.edu/Alumnus/VOL_0002/VOL_0002_ISSUE_0009.pdf
VOL_0003_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 03, No. 01 -- October 1924",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0001.pdf
VOL_0003_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 03, No. 02 -- November 1924",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0002.pdf
VOL_0003_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 03, No. 03 -- December 1924",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0003.pdf
VOL_0003_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 03, No. 04 -- January 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0004.pdf
VOL_0003_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 03, No. 05 -- February 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0005.pdf
VOL_0003_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 03, No. 06 -- March 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0006.pdf
VOL_0003_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 03, No. 07 -- April 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0007.pdf
VOL_0003_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 03, No. 08 -- May 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0008.pdf
VOL_0003_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 03, No. 09 -- June 1925",http://www.archives.nd.edu/Alumnus/VOL_0003/VOL_0003_ISSUE_0009.pdf
VOL_0004_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 04, No. 01 -- October 1925",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0001.pdf
VOL_0004_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 04, No. 02 -- November 1925",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0002.pdf
VOL_0004_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 04, No. 03 -- December 1925",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0003.pdf
VOL_0004_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 04, No. 04 -- January 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0004.pdf
VOL_0004_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 04, No. 05 -- February 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0005.pdf
VOL_0004_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 04, No. 06 -- March 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0006.pdf
VOL_0004_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 04, No. 07 -- April 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0007.pdf
VOL_0004_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 04, No. 08 -- May 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0008.pdf
VOL_0004_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 04, No. 09 -- May 1926",http://www.archives.nd.edu/Alumnus/VOL_0004/VOL_0004_ISSUE_0009.pdf
VOL_0005_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 05, No. 01 -- September 1926",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0001.pdf
VOL_0005_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 05, No. 02 -- October 1926",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0002.pdf
VOL_0005_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 05, No. 03 -- November 1926",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0003.pdf
VOL_0005_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 05, No. 04 -- December 1926",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0004.pdf
VOL_0005_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 05, No. 05 -- January 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0005.pdf
VOL_0005_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 05, No. 06 -- February 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0006.pdf
VOL_0005_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 05, No. 07 -- March 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0007.pdf
VOL_0005_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 05, No. 08 -- April 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0008.pdf
VOL_0005_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 05, No. 09 -- May 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0009.pdf
VOL_0005_ISSUE_0009-2.pdf,"Notre Dame Alumnus Vol. 05, No. 09 -- May 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0009-2.pdf
VOL_0005_ISSUE_0010.pdf,"Notre Dame Alumnus Vol. 05, No. 10 -- June 1927",http://www.archives.nd.edu/Alumnus/VOL_0005/VOL_0005_ISSUE_0010.pdf
VOL_0006_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 06, No. 01 -- September 1927",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0001.pdf
VOL_0006_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 06, No. 02 -- October 1927",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0002.pdf
VOL_0006_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 06, No. 03 -- November 1927",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0003.pdf
VOL_0006_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 06, No. 04 -- December 1927",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0004.pdf
VOL_0006_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 06, No. 05 -- January 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0005.pdf
VOL_0006_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 06, No. 06 -- February 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0006.pdf
VOL_0006_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 06, No. 07 -- March 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0007.pdf
VOL_0006_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 06, No. 08 -- April 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0008.pdf
VOL_0006_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 06, No. 09 -- May 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0009.pdf
VOL_0006_ISSUE_0010.pdf,"Notre Dame Alumnus Vol. 06, No. 10 -- June 1928",http://www.archives.nd.edu/Alumnus/VOL_0006/VOL_0006_ISSUE_0010.pdf
VOL_0007_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 07, No. 01 -- September 1928",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0001.pdf
VOL_0007_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 07, No. 02 -- October 1928",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0002.pdf
VOL_0007_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 07, No. 03 -- November 1928",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0003.pdf
VOL_0007_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 07, No. 04 -- December 1928",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0004.pdf
VOL_0007_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 07, No. 05 -- January 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0005.pdf
VOL_0007_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 07, No. 06 -- February 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0006.pdf
VOL_0007_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 07, No. 07 -- March 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0007.pdf
VOL_0007_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 07, No. 08 -- April 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0008.pdf
VOL_0007_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 07, No. 09 -- May 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0009.pdf
VOL_0007_ISSUE_0010.pdf,"Notre Dame Alumnus Vol. 07, No. 10 -- June 1929",http://www.archives.nd.edu/Alumnus/VOL_0007/VOL_0007_ISSUE_0010.pdf
VOL_0008_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 08, No. 01 -- September 1929",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0001.pdf
VOL_0008_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 08, No. 02 -- October 1929",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0002.pdf
VOL_0008_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 08, No. 03 -- November 1929",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0003.pdf
VOL_0008_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 08, No. 04 -- December 1929",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0004.pdf
VOL_0008_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 08, No. 05 -- January 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0005.pdf
VOL_0008_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 08, No. 06 -- February 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0006.pdf
VOL_0008_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 08, No. 07 -- March 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0007.pdf
VOL_0008_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 08, No. 08 -- April 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0008.pdf
VOL_0008_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 08, No. 09 -- May 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0009.pdf
VOL_0008_ISSUE_0010.pdf,"Notre Dame Alumnus Vol. 08, No. 10 -- June 1930",http://www.archives.nd.edu/Alumnus/VOL_0008/VOL_0008_ISSUE_0010.pdf
VOL_0009_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 09, No. 01 -- September 1930",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0001.pdf
VOL_0009_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 09, No. 02 -- October 1930",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0002.pdf
VOL_0009_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 09, No. 03 -- November 1930",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0003.pdf
VOL_0009_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 09, No. 04 -- December 1930",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0004.pdf
VOL_0009_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 09, No. 05 -- January 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0005.pdf
VOL_0009_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 09, No. 06 -- February 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0006.pdf
VOL_0009_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 09, No. 07 -- March 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0007.pdf
VOL_0009_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 09, No. 08 -- April 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0008.pdf
VOL_0009_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 09, No. 09 -- May 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0009.pdf
VOL_0009_ISSUE_0010.pdf,"Notre Dame Alumnus Vol. 09, No. 10 -- June 1931",http://www.archives.nd.edu/Alumnus/VOL_0009/VOL_0009_ISSUE_0010.pdf
VOL_0010_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 10, No. 1 -- October 1931",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0001.pdf
VOL_0010_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 10, No. 2 -- November 1931",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0002.pdf
VOL_0010_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 10, No. 3 -- December 1931",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0003.pdf
VOL_0010_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 10, No. 4 -- January 1932",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0004.pdf
VOL_0010_ISSUE_0506.pdf,"Notre Dame Alumnus Vol. 10, No. 5-6 -- February-March 1932",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0506.pdf
VOL_0010_ISSUE_0708.pdf,"Notre Dame Alumnus Vol. 10, No. 7-8 -- April-May 1932",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0708.pdf
VOL_0010_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 10, No. 09 -- June 1932",http://www.archives.nd.edu/Alumnus/VOL_0010/VOL_0010_ISSUE_0009.pdf
VOL_0011_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 11, No. 01 -- October 1932",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0001.pdf
VOL_0011_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 11, No. 02 -- November 1932",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0002.pdf
VOL_0011_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 11, No. 03 -- December 1932",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0003.pdf
VOL_0011_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 11, No. 04 -- January 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0004.pdf
VOL_0011_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 11, No. 05 -- February 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0005.pdf
VOL_0011_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 11, No. 06 -- March 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0006.pdf
VOL_0011_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 11, No. 07 -- April 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0007.pdf
VOL_0011_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 11, No. 08 -- May 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0008.pdf
VOL_0011_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 11, No. 09 -- June 1933",http://www.archives.nd.edu/Alumnus/VOL_0011/VOL_0011_ISSUE_0009.pdf
VOL_0012_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 12, No. 01 -- October 1933",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0001.pdf
VOL_0012_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 12, No. 02 -- November 1933",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0002.pdf
VOL_0012_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 12, No. 03 -- December 1933",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0003.pdf
VOL_0012_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 12, No. 04 -- January 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0004.pdf
VOL_0012_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 12, No. 05 -- February 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0005.pdf
VOL_0012_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 12, No. 06 -- March 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0006.pdf
VOL_0012_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 12, No. 07 -- April 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0007.pdf
VOL_0012_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 12, No. 08 -- May 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0008.pdf
VOL_0012_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 12, No. 09 -- June 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0009.pdf
VOL_0013_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 13, No. 01 -- October 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0001.pdf
VOL_0013_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 13, No. 02 -- November 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0002.pdf
VOL_0013_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 13, No. 03 -- December 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0003.pdf
VOL_0013_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 13, No. 04 -- January 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0004.pdf
VOL_0013_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 13, No. 05 -- February 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0005.pdf
VOL_0013_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 13, No. 06 -- March 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0006.pdf
VOL_0013_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 13, No. 07 -- April 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0007.pdf
VOL_0013_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 13, No. 08 -- May 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0008.pdf
VOL_0013_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 13, No. 09 -- June 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0009.pdf
VOL_0014_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 14, No. 01 -- October 1935",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0001.pdf
VOL_0014_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 14, No. 02 -- November 1935",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0002.pdf
